sumcum,state,,maxcum,mincum,__fileposition__
-33.28,DC,,-19.77,-44,0
-23.02,CA,,-14.97,-32.06,11
-22.59,NY,,-14.87,-31.29,22
-17.42,AK,,17.83,-35.75,33
-15.23,VA,,-6.49,-24.81,44
-13.7,MD,,-2.27,-24.79,55
-12.95,NJ,,-3.21,-23.18,66
-11.43,AZ,,1.03,-24.48,77
-9.32,FL,,-0.57,-18.27,88
-7.59,NV,,7.59,-21.36,99
-6.47,GA,,2.89,-16.11,110
-6.44,VT,,10.3,-20.76,121
-6.19,CT,,6.83,-18.75,132
-5.57,NC,,3.41,-15.11,143
-4.69,NM,,8.83,-18.58,154
-4.27,IL,,6.21,-15.96,165
-4.23,CO,,9.42,-19.57,176
-2.3,ME,,15.11,-16.77,187
-2.18,SC,,8.08,-12.2,198
-2.06,WA,,11.67,-15.34,209
-1.01,RI,,17.99,-17.04,220
-0.82,MN,,11.64,-14.4,231
-0.47,OR,,11.91,-12.92,242
0.02,HI,,33.52,-19.47,253
0.2,DE,,20.43,-16.12,264
1.3,WI,,13.07,-11.35,275
2.78,SD,,18.28,-13.55,286
3.28,MT,,19.95,-12.84,297
3.28,MI,,14.52,-9.15,308
4.59,ID,,19.45,-10.71,319
5.39,ND,,22.42,-11.45,330
5.94,PA,,15.94,-5.56,341
6.63,TX,,16.64,-5.59,352
7.25,MA,,21.77,-6.82,363
9.52,WY,,27.97,-9.58,374
10.53,IA,,24.05,-3.83,385
10.71,NH,,29.85,-5.96,396
11.19,UT,,28.12,-5.38,407
11.67,MO,,24.43,-2.36,418
13.24,NE,,29.53,-4.9,429
13.45,AL,,25.88,0.85,440
17.44,TN,,29.87,4.56,451
17.53,KS,,32.84,0.86,462
24.32,KY,,37.69,10.02,473
25.02,OH,,37.59,11.27,484
26,LA,,40.3,10.54,495
26.02,IN,,39.38,11.42,506
27.19,AR,,42.48,11.75,517
28.09,MS,,43.07,13.33,528
29.08,OK,,43.92,13.12,539
35.86,WV,,51.63,20.51,550
