,state,evtsum,injsum,fatsum,evtscore,injscore,fatscore,evtnormalized,mysort
5,CA,37,775,336,1,1,3,0,0
8,TX,34,505,347,2,4,2,0,0
18,KY,25,708,164,9,2,7,0,0
24,WI,29,262,104,5,10,9,0,0
25,FL,27,238,191,7,12,6,0,0
25,MO,24,536,86,10,3,12,0,0
26,AL,27,302,86,7,7,12,0,0
27,AZ,26,121,879,8,18,1,0,0
28,TN,23,440,91,11,6,11,0,0
37,NC,28,94,112,6,23,8,0,0
37,LA,27,103,103,7,20,10,0,0
38,IL,28,122,60,6,17,15,0,0
38,MS,26,264,40,8,9,21,0,0
41,WA,33,102,44,3,21,17,0,0
41,OK,24,465,31,10,5,26,0,0
42,OR,30,54,199,4,33,5,0,0
42,PA,26,181,41,8,14,20,0,0
43,IN,26,115,56,8,19,16,0,0
43,GA,24,168,43,10,15,18,0,0
44,SC,25,145,42,9,16,19,0,0
44,OH,24,257,38,10,11,23,0,0
45,CO,27,90,65,7,25,13,0,0
46,NV,24,55,232,10,32,4,0,0
46,IA,23,293,29,11,8,27,0,0
48,NY,33,57,62,3,31,14,0,0
51,NM,24,199,28,10,13,28,0,0
53,MI,25,99,39,9,22,22,0,0
56,SD,25,88,40,9,26,21,0,0
56,MN,26,92,37,8,24,24,0,0
56,VA,26,99,31,8,22,26,0,0
59,MD,24,58,42,10,30,19,0,0
62,NJ,23,61,39,11,29,22,0,0
63,ID,28,55,33,6,32,25,0,0
67,AR,22,92,22,12,24,31,0,0
69,KS,22,72,25,12,27,30,0,0
69,UT,23,69,25,11,28,30,0,0
71,MT,26,52,26,8,34,29,0,0
77,WY,24,51,20,10,35,32,0,0
77,NE,24,52,17,10,34,33,0,0
83,WV,24,19,10,10,38,35,0,0
84,ND,21,45,10,13,36,35,0,0
84,MA,26,27,5,8,37,39,0,0
89,HI,17,15,12,15,40,34,0,0
89,CT,24,13,8,10,42,37,0,0
89,ME,24,14,7,10,41,38,0,0
92,NH,20,18,5,14,39,39,0,0
93,VT,22,5,9,12,45,36,0,0
97,AK,22,3,5,12,46,39,0,0
101,DE,15,7,0,16,44,41,0,0
102,RI,15,1,5,16,47,39,0,0
